2024-02-17 10:59:36 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@65a80fdb, org.springframework.security.web.context.SecurityContextPersistenceFilter@22ff11ef, org.springframework.security.web.header.HeaderWriterFilter@18dbc1b, org.springframework.web.filter.CorsFilter@79e90571, org.springframework.security.web.authentication.logout.LogoutFilter@2aa0feb2, com.atguigu.accounting.security.TokenAuthenticationFilter@7d551ec6, com.atguigu.accounting.security.TokenLoginFilter@6614ecca, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@23d978b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4b511e61, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@43e7f104, org.springframework.security.web.session.SessionManagementFilter@8315e4a, org.springframework.security.web.access.ExceptionTranslationFilter@74badf19, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@aa23f11]
2024-02-17 10:59:37 |INFO  |main |ExecutorConfigurationSupport.java:181 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2024-02-17 10:59:43 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8888"]
2024-02-17 10:59:43 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8888 (http) with context path ''
2024-02-17 10:59:43 |INFO  |main |RefreshScopeRefreshedEventListener.java:70 |com.ulisesbocchio.jasyptspringboot.caching.RefreshScopeRefreshedEventListener |Refreshing cached encryptable property sources on ServletWebServerInitializedEvent
2024-02-17 10:59:43 |INFO  |main |CachingDelegateEncryptablePropertySource.java:92 |com.ulisesbocchio.jasyptspringboot.caching.CachingDelegateEncryptablePropertySource |Property Source systemProperties refreshed
2024-02-17 10:59:43 |INFO  |main |CachingDelegateEncryptablePropertySource.java:92 |com.ulisesbocchio.jasyptspringboot.caching.CachingDelegateEncryptablePropertySource |Property Source systemEnvironment refreshed
2024-02-17 10:59:43 |INFO  |main |CachingDelegateEncryptablePropertySource.java:92 |com.ulisesbocchio.jasyptspringboot.caching.CachingDelegateEncryptablePropertySource |Property Source random refreshed
2024-02-17 10:59:43 |INFO  |main |CachingDelegateEncryptablePropertySource.java:92 |com.ulisesbocchio.jasyptspringboot.caching.CachingDelegateEncryptablePropertySource |Property Source applicationConfig: [classpath:/application.yaml] refreshed
2024-02-17 10:59:43 |INFO  |main |EncryptablePropertySourceConverter.java:105 |com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter |Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
